round,agent,action,clicks,payout,profit,timestamp
24,yuzu,cashout,3,2.5,15.0,2025-10-31T22:04:44.610137
25,takeshi,click_mine,3,0.0,-10.0,2025-10-31T22:04:44.610194
25,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.610257
25,lelouch,cashout,3,2.5,15.0,2025-10-31T22:04:44.610320
25,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.610386
25,yuzu,cashout,3,2.5,15.0,2025-10-31T22:04:44.610450
26,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.610515
26,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.610578
26,lelouch,cashout,3,2.5,15.0,2025-10-31T22:04:44.610642
26,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.610705
26,yuzu,cashout,3,2.5,15.0,2025-10-31T22:04:44.610768
27,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.610833
27,kazuya,click_mine,3,0.0,-10.0,2025-10-31T22:04:44.610890
27,lelouch,cashout,3,2.5,15.0,2025-10-31T22:04:44.610953
27,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.611019
27,yuzu,cashout,3,2.5,15.0,2025-10-31T22:04:44.611083
28,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.611146
28,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.611209
28,lelouch,cashout,3,2.5,15.0,2025-10-31T22:04:44.611291
28,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.611381
28,yuzu,cashout,3,2.5,15.0,2025-10-31T22:04:44.611462
29,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.611545
29,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.611641
29,lelouch,cashout,3,2.5,15.0,2025-10-31T22:04:44.611721
29,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.611788
29,yuzu,cashout,3,2.5,15.0,2025-10-31T22:04:44.611854
30,takeshi,cashout,3,2.5,15.0,2025-10-31T22:04:44.611920
30,kazuya,cashout,3,2.5,15.0,2025-10-31T22:04:44.612000
30,lelouch,cashout,3,2.5,15.0,2025-10-31T22:04:44.612082
30,senku,cashout,3,2.5,15.0,2025-10-31T22:04:44.612152
30,yuzu,cashout,3,2.5,15.0,2025-10-31T22:04:44.612220
